model_id,epoch,loss,,,,,,
3,1,1.6958,,,,,,
3,2,0.065,,submission,2,,Seed,port
3,3,0.04,,Model,cifar10_resnet20,,69699351,9478
3,4,0.0306,,Num Epochs,30,,,
3,5,0.0277,,Batch Size,32,,,
3,6,0.0276,,LR,1.00E-03,,,
3,7,0.026,,Lambda,15,,,
3,8,0.0245,,Portion of data used,4 out of 13,,,
3,9,0.0231,,,,,,
3,10,0.0223,,l2 loss,6.54462719,,,
3,11,0.0215,,,,,,
3,12,0.0207,,,,,,
3,13,0.02,,,,,,
3,14,0.02,,,,,,
3,15,0.0191,,,,,,
3,16,0.0183,,,,,,
3,17,0.0184,,,,,,
3,18,0.0174,,,,,,
3,19,0.0176,,,,,,
3,20,0.0168,,,,,,
3,21,0.0164,,,,,,
3,22,0.0162,,,,,,
3,23,0.0158,,,,,,
3,24,0.0158,,,,,,
3,25,0.0156,,,,,,
3,26,0.0155,,,,,,
3,27,0.0158,,,,,,
3,28,0.0151,,,,,,
3,29,0.0144,,,,,,
3,30,0.0148,,,,,,
