model_id,epoch,loss,,,,,,
7,1,2.0256,,,,,,
7,2,0.0649,,submission,6,,Seed,port
7,3,0.0405,,Model,cifar10_resnet20,,69699351,9478
7,4,0.0313,,Num Epochs,30,,,
7,5,0.0289,,Batch Size,32,,,
7,6,0.027,,LR,1.00E-03,,,
7,7,0.027,,Lambda,15,,,
7,8,0.0267,,Portion of data used,4 out of 13,,,
7,9,0.0245,,,,,,
7,10,0.0239,,l2 loss,6.470366478,,,
7,11,0.0225,,,,,,
7,12,0.0219,,,,,,
7,13,0.0214,,,,,,
7,14,0.0204,,,,,,
7,15,0.0201,,,,,,
7,16,0.0192,,,,,,
7,17,0.019,,,,,,
7,18,0.0184,,,,,,
7,19,0.0185,,,,,,
7,20,0.0177,,,,,,
7,21,0.0176,,,,,,
7,22,0.0171,,,,,,
7,23,0.0168,,,,,,
7,24,0.0165,,,,,,
7,25,0.0163,,,,,,
7,26,0.0162,,,,,,
7,27,0.0159,,,,,,
7,28,0.016,,,,,,
7,29,0.0158,,,,,,
7,30,0.0154,,,,,,
