model_id,epoch,loss,,,,,,
8,1,2.9923,,,,,,
8,2,2.8681,,submission,7,,Seed,port
8,3,2.8518,,Model,cifar10_resnet20,,69699351,9478
8,4,2.836,,Num Epochs,30,,,
8,5,2.8318,,Batch Size,32,,,
8,6,2.8244,,LR,1.00E-03,,,
8,7,2.8192,,,,,,
8,8,2.8138,,Portion of data used,4 out of 13,,,
8,9,2.8109,,,,,,
8,10,2.807,,contrastive loss,27.74979401,,,
8,11,2.8086,,,,,,
8,12,2.8045,,,,,,
8,13,2.8014,,,,,,
8,14,2.7992,,,,,,
8,15,2.7978,,,,,,
8,16,2.797,,,,,,
8,17,2.7958,,,,,,
8,18,2.7935,,,,,,
8,19,2.792,,,,,,
8,20,2.7881,,,,,,
8,21,2.7886,,,,,,
8,22,2.7847,,,,,,
8,23,2.7853,,,,,,
8,24,2.7842,,,,,,
8,25,2.784,,,,,,
8,26,2.7789,,,,,,
8,27,2.7814,,,,,,
8,28,2.7816,,,,,,
8,29,2.7793,,,,,,
