model_id,epoch,loss,,,,,,
4,1,1.0921,,,,,,
4,2,0.043,,submission,3,,Seed,port
4,3,0.0267,,Model,cifar10_resnet20,,69699351,9478
4,4,0.0207,,Num Epochs,30,,,
4,5,0.019,,Batch Size,32,,,
4,6,0.0179,,LR,1.00E-03,,,
4,7,0.0171,,Lambda,10,,,
4,8,0.0164,,Portion of data used,4 out of 13,,,
4,9,0.0153,,,,,,
4,10,0.0149,,l2 loss,6.54462719,,,
4,11,0.0142,,,,,,
4,12,0.0139,,,,,,
4,13,0.0134,,,,,,
4,14,0.0134,,,,,,
4,15,0.0128,,,,,,
4,16,0.0124,,,,,,
4,17,0.0123,,,,,,
4,18,0.0118,,,,,,
4,19,0.0119,,,,,,
4,20,0.0116,,,,,,
4,21,0.0113,,,,,,
4,22,0.0113,,,,,,
4,23,0.0109,,,,,,
4,24,0.011,,,,,,
4,25,0.0109,,,,,,
4,26,0.0105,,,,,,
4,27,0.0107,,,,,,
4,28,0.0104,,,,,,
4,29,0.0102,,,,,,
4,30,0.0098,,,,,,
